iter	Passed	Remaining
537	9274	7963
538	9290	7946
539	9305	7927
540	9322	7909
541	9339	7892
542	9356	7875
543	9373	7857
544	9391	7840
545	9409	7823
546	9428	7808
547	9447	7792
548	9465	7775
549	9482	7758
550	9498	7740
551	9515	7722
552	9530	7703
553	9546	7685
554	9560	7665
555	9575	7646
556	9591	7628
557	9607	7609
558	9623	7592
559	9640	7574
560	9657	7556
561	9672	7538
562	9688	7520
563	9705	7503
564	9721	7484
565	9737	7466
566	9754	7449
567	9769	7430
568	9786	7412
569	9802	7395
570	9819	7377
571	9834	7358
572	9850	7340
573	9865	7322
574	9881	7303
575	9900	7287
576	9919	7271
577	9937	7255
578	9955	7238
579	9974	7222
580	9993	7206
581	10011	7190
582	10029	7173
583	10046	7156
584	10065	7140
585	10082	7122
586	10097	7104
587	10113	7086
588	10131	7069
589	10147	7051
590	10165	7034
591	10182	7017
592	10199	7000
593	10218	6984
594	10236	6967
595	10253	6950
596	10271	6933
597	10288	6916
598	10306	6899
599	10325	6883
600	10341	6865
601	10358	6848
602	10375	6830
603	10391	6812
604	10407	6794
605	10423	6777
606	10439	6759
607	10454	6740
608	10471	6723
609	10488	6705
610	10505	6688
611	10522	6671
612	10539	6653
613	10557	6637
614	10574	6619
615	10592	6603
616	10610	6586
617	10629	6570
618	10647	6553
619	10666	6537
620	10685	6521
621	10702	6504
622	10718	6486
623	10735	6468
624	10751	6450
625	10768	6433
626	10785	6416
627	10804	6399
628	10821	6382
629	10839	6365
630	10856	6348
631	10876	6333
632	10893	6316
633	10911	6299
634	10928	6281
635	10943	6263
636	10959	6245
637	10976	6228
638	10993	6210
639	11009	6192
640	11026	6175
641	11043	6158
642	11058	6139
643	11075	6122
644	11093	6105
645	11111	6088
646	11128	6071
647	11144	6054
648	11161	6036
649	11180	6020
650	11200	6004
651	11221	5989
652	11241	5973
653	11258	5956
654	11275	5938
655	11292	5921
656	11306	5902
657	11321	5884
658	11336	5866
659	11352	5848
660	11368	5830
661	11384	5812
662	11401	5795
663	11418	5777
664	11435	5760
665	11452	5743
666	11470	5726
667	11488	5709
668	11507	5693
669	11523	5675
670	11542	5659
671	11560	5642
672	11578	5626
673	11596	5609
674	11612	5591
675	11629	5574
676	11647	5557
677	11661	5538
678	11676	5520
679	11693	5502
680	11709	5484
681	11725	5467
682	11740	5449
683	11765	5435
684	11791	5422
685	11818	5409
686	11853	5400
687	11889	5391
688	11939	5389
689	11980	5382
690	12016	5373
691	12055	5365
692	12089	5355
693	12114	5341
694	12133	5324
695	12152	5308
696	12170	5290
697	12188	5273
698	12205	5256
699	12224	5238
700	12243	5222
701	12261	5204
702	12278	5187
703	12297	5170
704	12314	5152
705	12333	5136
706	12353	5119
707	12373	5103
708	12391	5086
709	12410	5069
710	12429	5052
711	12447	5034
712	12465	5017
713	12482	4999
714	12498	4982
715	12514	4964
716	12530	4945
717	12545	4927
718	12560	4909
719	12576	4891
